college_url,nba_url,name,college_position,college,college_height,college_weight,Year,BAMScore,Year2,BAMScore2,college_G,college_GS,college_MP,college_FG,college_FGA,college_FG%,college_2P,college_2PA,college_2P%,college_3P,college_3PA,college_3P%,college_FT,college_FTA,college_FT%,college_ORB,college_DRB,college_TRB,college_AST,college_STL,college_BLK,college_TOV,college_PF,college_PTS,college_SOS,NBA_position,NBA_height,NBA_weight,NBA_G,NBA_GS,NBA_MP,NBA_FG,NBA_FGA,NBA_FG%,NBA_2P,NBA_2PA,NBA_2P%,NBA_3P,NBA_3PA,NBA_3P%,NBA_FT,NBA_FTA,NBA_FT%,NBA_ORB,NBA_DRB,NBA_TRB,NBA_AST,NBA_STL,NBA_BLK,NBA_TOV,NBA_PF,NBA_PTS
https://www.sports-reference.com/cbb/players/vander-blue-1.html,https://www.basketball-reference.com/players/b/blueva01.html,Vander Blue,Guard,Marquette,6-4,200,2013,2279,,,106,80,25.7,3.3,7.7,0.429,2.8,6,0.475,0.5,1.8,0.277,2.1,3,0.704,1,2.5,3.5,2,1,0.1,2,1.7,9.3,8.2,Shooting Guard,6-4,200,10,1,13.4,1.2,3.9,0.308,1,2.6,0.385,0.2,1.3,0.154,0.4,1.2,0.333,0.2,1.1,1.3,1.2,0.4,0,1.1,0.7,3
https://www.sports-reference.com/cbb/players/devon-hall-1.html,https://www.basketball-reference.com/players/h/hallde01.html,Devon Hall,Guard,Virginia,6-5,210,2018,2074,,,128,89,24,2.4,5.7,0.419,1.5,3.4,0.44,0.9,2.3,0.389,1.2,1.5,0.807,0.3,2.8,3.2,2.1,0.6,0.2,0.9,1.4,6.9,9.73,Shooting Guard,6-2,215,11,0,7.4,0.5,2.7,0.2,0.2,1.2,0.154,0.4,1.5,0.235,0.4,0.7,0.5,0.2,0.5,0.6,1.2,0.4,0.1,0.5,0.5,1.8
https://www.sports-reference.com/cbb/players/zhaire-smith-1.html,https://www.basketball-reference.com/players/s/smithzh01.html,Zhaire Smith,Guard,Texas Tech,6-5,195,2018,2238,,,37,21,28.4,4.2,7.5,0.556,3.7,6.4,0.574,0.5,1.1,0.45,2.5,3.4,0.717,2.2,2.8,5,1.8,1.1,1.1,1.1,1.8,11.3,9.6,Shooting Guard,6-3,205,13,2,11,1.3,3.5,0.378,0.8,2,0.423,0.5,1.5,0.316,0.6,0.9,0.667,0.2,0.9,1.2,0.9,0.4,0.2,0.6,0.9,3.7
https://www.sports-reference.com/cbb/players/michael-frazier-1.html,https://www.basketball-reference.com/players/f/frazimi01.html,Michael Frazier,Guard,Florida,6-4,194,2015,2121,,,101,54,25.7,3.1,7.1,0.443,0.9,1.9,0.474,2.2,5.2,0.432,1.3,1.6,0.854,0.6,2.9,3.5,1.1,0.9,0.1,1.2,1.6,9.9,8.34,Shooting Guard,6-3,200,13,0,11.2,0.5,2.2,0.241,0.2,0.5,0.5,0.3,1.8,0.174,0.7,1.1,0.643,0.1,0.7,0.8,0.2,0.2,0,0.4,1.7,2.1
https://www.sports-reference.com/cbb/players/ike-anigbogu-1.html,https://www.basketball-reference.com/players/a/anigbik01.html,Ike Anigbogu,Forward,UCLA,6-10,250,2017,1928,,,29,0,13,2,3.5,0.564,2,3.5,0.564,0,0,,0.8,1.5,0.535,1.4,2.6,4,0.2,0.2,1.2,0.8,2.5,4.7,6.39,Center,6-10,250,14,0,2.6,0.3,0.9,0.333,0.3,0.9,0.333,0,0,,0.4,0.4,0.833,0.4,0.4,0.9,0.1,0.1,0.3,0.2,0.1,0.9
https://www.sports-reference.com/cbb/players/kyle-wiltjer-1.html,https://www.basketball-reference.com/players/w/wiltjky01.html,Kyle Wiltjer,Forward,Kentucky and Gonzaga,6-10,240,2016,2079,,,147,83,23.8,4.7,9.6,0.487,3,5.7,0.53,1.7,4,0.425,1.9,2.3,0.824,1.2,3.4,4.6,1.3,0.3,0.6,1.3,1.5,13,5.76,Power Forward,6-10,240,14,0,3.1,0.3,1,0.286,0,0.1,0,0.3,0.9,0.308,0.1,0.1,0.5,0.3,0.4,0.7,0.1,0.2,0.1,0.4,0.3,0.9
https://www.sports-reference.com/cbb/players/raymond-spalding-1.html,https://www.basketball-reference.com/players/s/spaldra01.html,Raymond Spalding,Forward,Louisville,6-10,210,2018,2035,,,100,48,21.7,3.3,6,0.557,3.3,5.7,0.571,0.1,0.3,0.24,1.4,2.5,0.579,2.3,4,6.3,0.9,1,1.1,1.3,2.6,8.1,9.32,Power Forward,6-10,215,14,3,10.6,1.8,3.4,0.532,1.8,3.1,0.568,0,0.2,0,0.3,0.9,0.333,1.1,2.4,3.4,0.4,0.6,0.6,0.6,1.6,3.9
https://www.sports-reference.com/cbb/players/jamel-artis-1.html,https://www.basketball-reference.com/players/a/artisja01.html,Jamel Artis,Forward,Pitt,6-7,220,2017,2000,,,135,98,27.6,4.3,9.1,0.47,3,5.8,0.524,1.3,3.3,0.378,2.7,3.6,0.759,1.4,3.3,4.6,2.3,0.5,0.3,1.9,1.8,12.6,8.68,Shooting Guard,6-7,213,15,1,18.6,2.1,5.3,0.392,1.5,3.3,0.46,0.5,1.9,0.276,0.5,0.8,0.583,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,5.1
https://www.sports-reference.com/cbb/players/glen-rice-jr-1.html,https://www.basketball-reference.com/players/r/ricegl02.html,Glen Rice,Guard,Georgia Tech,6-5,206,2013,2183,,,87,44,24.8,3.6,8.4,0.435,2.5,5,0.493,1.1,3.3,0.346,1.5,2.4,0.611,1.6,3.2,4.8,2.1,1.3,0.5,1.9,2.2,9.9,6.27,Shooting Guard,6-6,206,16,1,9.5,0.9,3.3,0.269,0.5,1.8,0.286,0.4,1.5,0.25,0.6,0.8,0.692,0.4,1.1,1.5,0.6,0.4,0.1,0.7,1.1,2.7
https://www.sports-reference.com/cbb/players/jarrod-uthoff-1.html,https://www.basketball-reference.com/players/u/uthofja01.html,Jarrod Uthoff,Forward,Iowa,6-9,210,2016,2089,,,100,67,26.5,4.6,10.2,0.45,3.2,6.6,0.486,1.4,3.6,0.383,2.5,3.1,0.795,1.5,4.3,5.8,1.2,0.8,1.8,1,1.4,13,8.18,Power Forward and Small Forward,6-9,221,16,0,10.5,1.4,3.5,0.411,1.1,2.4,0.447,0.4,1.1,0.333,0.4,0.6,0.778,0.6,1.1,1.8,0.6,0.2,0.3,0.2,0.6,3.7
