url,name,position,college,height,weight,Year,BAMScore,Year2,BAMScore2
https://www.sports-reference.com/cbb/players/denzel-valentine-1.html,Denzel Valentine,Guard,Michigan State,6-5,220lb,2016,2079,,
https://www.sports-reference.com/cbb/players/jawun-evans-1.html,Jawun Evans,Guard,Oklahoma State,6-0,175lb,2017,2079,,
https://www.sports-reference.com/cbb/players/kyle-wiltjer-1.html,Kyle Wiltjer,Forward,Kentucky and Gonzaga,6-10,240lb,2016,2079,,
https://www.sports-reference.com/cbb/players/bj-mullens-1.html,Byron Mullens,Center,Ohio State,7-0,275lb,2009,2081,,
https://www.sports-reference.com/cbb/players/tony-mitchell-3.html,Tony Mitchell,Forward,Alabama,6-6,210lb,2012,2081,,
https://www.sports-reference.com/cbb/players/tyler-zeller-1.html,Tyler Zeller,Forward,UNC,7-0,250lb,2012,2081,,
https://www.sports-reference.com/cbb/players/aaron-holiday-1.html,Aaron Holiday,Guard,UCLA,6-1,185lb,2018,2082,,
https://www.sports-reference.com/cbb/players/anthony-brown-5.html,Anthony Brown,Guard,Stanford,6-6,215lb,2015,2082,,
https://www.sports-reference.com/cbb/players/darington-hobson-1.html,Darington Hobson,Forward,New Mexico,6-7,205lb,2010,2083,,
https://www.sports-reference.com/cbb/players/tyler-lydon-1.html,Tyler Lydon,Forward,Syracuse,6-8,205lb,2017,2083,,
https://www.sports-reference.com/cbb/players/jarnell-stokes-1.html,Jarnell Stokes,Forward,Tennessee,6-8,260lb,2014,2084,,
https://www.sports-reference.com/cbb/players/terrell-holloway-1.html,Tu Holloway,Guard,Xavier,6-0,190lb,2012,2085,,
https://www.sports-reference.com/cbb/players/bruno-fernando-1.html,Bruno Fernando,Forward,Maryland,6-10,240lb,2018,2086,,
https://www.sports-reference.com/cbb/players/derrick-walton-1.html,Derrick Walton,Guard,Michigan,6-0,185lb,2017,2087,,
https://www.sports-reference.com/cbb/players/kj-mcdaniels-1.html,K.J. McDaniels,Forward,Clemson,6-6,200lb,2014,2087,,
https://www.sports-reference.com/cbb/players/richaun-holmes-1.html,Richaun Holmes,Forward,Bowling Green State,6-8,245lb,2015,2088,,
https://www.sports-reference.com/cbb/players/aaron-white-3.html,Aaron White,Forward,Iowa,6-9,228lb,2015,2089,,
https://www.sports-reference.com/cbb/players/jarrod-uthoff-1.html,Jarrod Uthoff,Forward,Iowa,6-9,210lb,2016,2089,,
https://www.sports-reference.com/cbb/players/yante-maten-1.html,Yante Maten,Forward,Georgia,6-8,240lb,2018,2089,,
https://www.sports-reference.com/cbb/players/cheick-diallo-1.html,Cheick Diallo,Forward,Kansas,6-9,218lb,2016,2090,,
https://www.sports-reference.com/cbb/players/theo-pinson-1.html,Theo Pinson,Forward,UNC,6-6,195lb,2018,2090,,
https://www.sports-reference.com/cbb/players/edrice-adebayo-1.html,Bam Adebayo,Forward,Kentucky,6-10,260lb,2017,2091,,
https://www.sports-reference.com/cbb/players/khem-birch-1.html,Khem Birch,Forward,Pitt and UNLV,6-9,220lb,2014,2091,,
https://www.sports-reference.com/cbb/players/drew-gordon-1.html,Drew Gordon,Forward,UCLA and New Mexico,6-9,245lb,2012,2093,,
https://www.sports-reference.com/cbb/players/jae-crowder-1.html,Jae Crowder,Forward,Marquette,6-6,235lb,2012,2093,,
https://www.sports-reference.com/cbb/players/jordan-mcrae-1.html,Jordan McRae,Guard,Tennessee,6-5,200lb,2014,2093,,
https://www.sports-reference.com/cbb/players/semaj-christon-1.html,Semaj Christon,Guard,Xavier,6-3,190lb,2014,2093,,
https://www.sports-reference.com/cbb/players/deanthony-melton-1.html,De'Anthony Melton,Guard,USC,6-4,190lb,2018,2095,,
https://www.sports-reference.com/cbb/players/malcolm-thomas-2.html,Malcolm Thomas,Forward,Pepperdine and San Diego State,6-9,220lb,2011,2096,,
https://www.sports-reference.com/cbb/players/noah-vonleh-1.html,Noah Vonleh,Forward,Indiana,6-10,240lb,2014,2097,,
https://www.sports-reference.com/cbb/players/tyler-honeycutt-1.html,Tyler Honeycutt,Forward,UCLA,6-9,180lb,2011,2097,,
https://www.sports-reference.com/cbb/players/andrew-harrison-1.html,Andrew Harrison,Guard,Kentucky,6-6,210lb,2015,2098,,
https://www.sports-reference.com/cbb/players/austin-rivers-1.html,Austin Rivers,Guard,Duke,6-4,200lb,2012,2099,,
https://www.sports-reference.com/cbb/players/cameron-bairstow-1.html,Cameron Bairstow,Forward,New Mexico,6-9,250lb,2014,2100,,
https://www.sports-reference.com/cbb/players/carsen-edwards-1.html,Carsen Edwards,Guard,Purdue,6-1,200lb,2018,2100,,
https://www.sports-reference.com/cbb/players/josh-hart-1.html,Josh Hart,Guard,Villanova,6-5,205lb,2016,2100,2017,2076
https://www.sports-reference.com/cbb/players/olivier-hanlan-1.html,Olivier Hanlan,Guard,Boston College,6-4,190lb,2015,2100,,
https://www.sports-reference.com/cbb/players/reggie-bullock-2.html,Reggie Bullock,Guard,UNC,6-7,205lb,2013,2100,,
https://www.sports-reference.com/cbb/players/corey-hawkins-1.html,Corey Hawkins,Guard,Arizona State and UC-Davis,6-3,195lb,2015,2101,,
https://www.sports-reference.com/cbb/players/shelvin-mack-1.html,Shelvin Mack,Guard,Butler,6-3,215lb,2011,2102,,
https://www.sports-reference.com/cbb/players/aj-price-1.html,A.J. Price,Guard,UConn,6-2,181lb,2009,2103,,
https://www.sports-reference.com/cbb/players/gary-payton-2.html,Gary Payton,Guard,Oregon State,6-3,175lb,2016,2103,,
https://www.sports-reference.com/cbb/players/quincy-miller-1.html,Quincy Miller,Forward,Baylor,6-9,210lb,2012,2103,,
https://www.sports-reference.com/cbb/players/wesley-iwundu-1.html,Wesley Iwundu,Forward,Kansas State,6-7,205lb,2017,2103,,
https://www.sports-reference.com/cbb/players/demar-derozan-1.html,DeMar DeRozan,Forward,USC,6-7,220lb,2009,2104,,
https://www.sports-reference.com/cbb/players/earl-clark-1.html,Earl Clark,Forward,Louisville,6-9,225lb,2009,2104,,
https://www.sports-reference.com/cbb/players/stanley-robinson-1.html,Stanley Robinson,Forward,UConn,6-9,210lb,2010,2104,,
https://www.sports-reference.com/cbb/players/darius-morris-1.html,Darius Morris,Guard,Michigan,6-4,190lb,2011,2105,,
https://www.sports-reference.com/cbb/players/tyreke-evans-1.html,Tyreke Evans,Guard,Memphis,6-6,219lb,2009,2105,,
https://www.sports-reference.com/cbb/players/archie-goodwin-1.html,Archie Goodwin,Guard,Kentucky,6-5,198lb,2013,2106,,
https://www.sports-reference.com/cbb/players/james-ennis-1.html,James Ennis,Guard,Long Beach State,6-7,210lb,2013,2106,,
https://www.sports-reference.com/cbb/players/marcus-morris-1.html,Marcus Morris,Forward,Kansas,6-9,235lb,2011,2106,,
https://www.sports-reference.com/cbb/players/rodney-hood-1.html,Rodney Hood,Forward,Mississippi State and Duke,6-8,215lb,2014,2106,,
https://www.sports-reference.com/cbb/players/julius-randle-1.html,Julius Randle,Forward,Kentucky,6-9,250lb,2014,2107,,
https://www.sports-reference.com/cbb/players/patric-young-1.html,Patric Young,Center,Florida,6-9,240lb,2014,2107,,
https://www.sports-reference.com/cbb/players/rawle-alkins-1.html,Rawle Alkins,Guard,Arizona,6-5,220lb,2017,2108,2018,2182
https://www.sports-reference.com/cbb/players/trevor-mbakwe-1.html,Trevor Mbakwe,Forward,Marquette and Minnesota,6-8,245lb,2013,2108,,
https://www.sports-reference.com/cbb/players/danny-green-1.html,Danny Green,Forward,UNC,6-5,210lb,2009,2109,,
https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,Al-Farouq Aminu,Forward,Wake Forest,6-9,215lb,2010,2110,,
https://www.sports-reference.com/cbb/players/keith-benson-1.html,Keith Benson,Center,Oakland,6-11,230lb,2011,2110,,
https://www.sports-reference.com/cbb/players/klay-thompson-1.html,Klay Thompson,Guard,Washington State,6-6,200lb,2011,2110,,
https://www.sports-reference.com/cbb/players/kris-wilkes-1.html,Kris Wilkes,Guard,UCLA,6-8,215lb,2018,2111,,
https://www.sports-reference.com/cbb/players/jordan-mickey-1.html,Jordan Mickey,Forward,LSU,6-8,235lb,2015,2112,,
https://www.sports-reference.com/cbb/players/tj-mcconnell-1.html,T.J. McConnell,Guard,Duquesne and Arizona,6-1,195lb,2015,2112,,
